status_id,created_at,user_id,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,retweet_status_id,retweet_text,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,state
966177099013870000,2018-02-21T05:05:45Z,41497389,JBoYeE,"My head aches 
My heart aches",Twitter for Android,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/4de231505cdae11f.json,Hilton Head Island,"Hilton Head Island, SC",city,United States,US,|,|,-80.828921|-80.668573|-80.668573|-80.828921|32.10853|32.10853|32.271075|32.271075,South Carolina
966079054301598000,2018-02-20T22:36:10Z,906692342161318000,seandolliff,i hate head aches,Twitter for iPhone,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/bbd7331f334b0e04.json,Western Springs,"Western Springs, IL",city,United States,US,|,|,-87.9182802|-87.888206|-87.888206|-87.9182802|41.774916|41.774916|41.833886|41.833886,Illinois
965984722739454000,2018-02-20T16:21:19Z,135334188,ad2000_,"My PMS symptoms are crazy. Headaches, back aches, knee pain. Ready for this shit to come and go already 😒",Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/00e9226863a6e5a4.json,Savannah,"Savannah, GA",city,United States,US,|,|,-81.188663|-81.03057|-81.03057|-81.188663|31.922596|31.922596|32.111973|32.111973,Georgia
965981038924255000,2018-02-20T16:06:41Z,273671127,_sonjiaaa,"I slept so horribly, everything aches &amp; my head heavy.",Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/b004be67b9fd6d8f.json,Norfolk,"Norfolk, VA",city,United States,US,|,|,-76.334287|-76.177085|-76.177085|-76.334287|36.820791|36.820791|36.969373|36.969373,Virginia
965951531202773000,2018-02-20T14:09:26Z,2878740253,Amberh_764,These head aches are really getting out of control,Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/a3d770a00f15bcb1.json,Corpus Christi,"Corpus Christi, TX",city,United States,US,|,|,-97.662618|-97.202232|-97.202232|-97.662618|27.578509|27.578509|27.895793|27.895793,Texas
965936212614795000,2018-02-20T13:08:33Z,18062094,FevenA,"“I had to fight off head aches cause i told myself that black men like me won’t be picking cotton even if it means through a fuckin aspirin bottle” 

- Brook Yung",Twitter for iPhone,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/011add077f4d2da3.json,Brooklyn,"Brooklyn, NY",city,United States,US,|,|,-74.041878|-73.855673|-73.855673|-74.041878|40.570842|40.570842|40.739434|40.739434,New York
965857243173347000,2018-02-20T07:54:46Z,384640995,MicheLLCoolJ,"Hour 11 of studying today- eyes, droopy✅ stomach, cramping ✅ head, aches✅ contacts, dry✅ mind, trying to stay awake and comprehend lol✅",Twitter for iPhone,,,,FALSE,FALSE,5,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/a592bd6ceb1319f7.json,San Diego,"San Diego, CA",city,United States,US,|,|,-117.282538|-116.9274403|-116.9274403|-117.282538|32.53962|32.53962|33.0804044|33.0804044,California
965548964425753000,2018-02-19T11:29:46Z,1632113936,errinwilson1,I’m not feeling well at keep getting headaches and stomach aches,Twitter for iPhone,,,,FALSE,FALSE,2,1,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json,Washington,"Washington, DC",city,United States,US,|,|,-77.119401|-76.909396|-76.909396|-77.119401|38.801826|38.801826|38.9953797|38.9953797,District of Columbia
965351443099210000,2018-02-18T22:24:54Z,2545629028,Jpizzle0_0,Dominicans are head aches https://t.co/ouo92YZdjM,Twitter for iPhone,,,,TRUE,FALSE,0,0,,,twitter.com/torresyanill/s…,https://t.co/ouo92YZdjM,https://twitter.com/torresyanill/status/961931927933644801,,,,,,,,,,,en,961931927933645000,Waking up with a migraine is horrible.,,,https://api.twitter.com/1.1/geo/id/7f5293a53ed3f357.json,Patchogue,"Patchogue, NY",city,United States,US,|,|,-73.037902|-73.003159|-73.003159|-73.037902|40.746702|40.746702|40.77814|40.77814,New York
964579128698696000,2018-02-16T19:15:59Z,593106756,Szoradi5,Head aches aren’t fun :(,Twitter for iPhone,,,,FALSE,FALSE,2,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/6b1aa33507f2e472.json,Lima,"Lima, OH",city,United States,US,|,|,-84.215102|-84.012941|-84.012941|-84.215102|40.687562|40.687562|40.817349|40.817349,Ohio
