status_id,created_at,user_id,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,retweet_status_id,retweet_text,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,lng,lat,state
972955102272090000,2018-03-11T21:59:07Z,749374058588811000,ThePinataTheory,"@Nercamay The ER is still overwhelmed with flu cases (plus I don't want to catch this flu - it's different than what the flu shot protects against), plus they can't do anything other than tell me to go to a dentist.",Twitter for Android,971887178077925000,185908315,Nercamay,FALSE,FALSE,1,0,,,,,,,,,,,,,,185908315,Nercamay,en,,,,,https://api.twitter.com/1.1/geo/id/6a6d896ba1cb5dc4.json,Edmonton,"Edmonton, Alberta",city,Canada,CA,|,|,-113.71368|-113.271555|-113.271555|-113.71368|53.395531|53.395531|53.7161084|53.7161084,-113.4926175,53.5558197,
972908520772391000,2018-03-11T18:54:01Z,887488016557777000,CindyWest013,@Kahil @cnnbrk I know it's not 100%and even with the shot you can get a flu.,Twitter for Android,972662737187701000,14194329,Kahil,FALSE,FALSE,0,0,,,,,,,,,,,,,,14194329|428333,Kahil|cnnbrk,en,,,,,https://api.twitter.com/1.1/geo/id/3f5897b87d2bf56c.json,Delaware,"Delaware, USA",admin,United States,US,|,|,-75.7887564|-74.984165|-74.984165|-75.7887564|38.4510398|38.4510398|39.839007|39.839007,-75.3864607,39.1450234,
972863630034129000,2018-03-11T15:55:38Z,125117830,GIRLEMPOWER,"@amyjccuddy My aunt, who suffers from chronic autoimmune conditions like me, had her flu shot this year, like always and ended up intubated in the ICU for 2 weeks with the flu. No one else in her household had received the shot. We almost lost her. This is why herd immunity is everything.",Twitter for iPhone,972639025642312000,529140270,amyjccuddy,FALSE,FALSE,0,0,,,,,,,,,,,,,,529140270,amyjccuddy,en,,,,,https://api.twitter.com/1.1/geo/id/5c62ffb0f0f3479d.json,Phoenix,"Phoenix, AZ",city,United States,US,|,|,-112.3239143|-111.9254391|-111.9254391|-112.3239143|33.29026|33.29026|33.8154652|33.8154652,-112.1246767,33.5528626,Arizona
972858678523998000,2018-03-11T15:35:58Z,125117830,GIRLEMPOWER,@steve_v999 @amyjccuddy So in favor of this tweet!A+⭐️Being severely immune compromised due to rare disease my immunity DEPENDS on others also getting the shot! So much misinformation has always surrounded the flu vaccine!🤦🏻‍♀️,Twitter for iPhone,972640980670104000,914601022051336000,steve_v999,FALSE,FALSE,0,0,,,,,,,,,,,,,,914601022051336192|529140270,steve_v999|amyjccuddy,en,,,,,https://api.twitter.com/1.1/geo/id/5c62ffb0f0f3479d.json,Phoenix,"Phoenix, AZ",city,United States,US,|,|,-112.3239143|-111.9254391|-111.9254391|-112.3239143|33.29026|33.29026|33.8154652|33.8154652,-112.1246767,33.5528626,Arizona
972858358251315000,2018-03-11T15:34:42Z,497521894,unknownlyv,I had to get flu shot 3 times because of the army 😂😭 https://t.co/bbK74XhASR,Twitter for iPhone,,,,TRUE,FALSE,1,0,,,twitter.com/sammie_fagann/…,https://t.co/bbK74XhASR,https://twitter.com/sammie_fagann/status/972856446172979201,,,,,,,,,,,en,972856446172979000,Let’s guess how many times it’ll take the army to withdraw blood from me😬😬,,,https://api.twitter.com/1.1/geo/id/fbd1502e5edce6bf.json,Cape Coral,"Cape Coral, FL",city,United States,US,|,|,-82.069567|-81.9041014|-81.9041014|-82.069567|26.531814|26.531814|26.741146|26.741146,-81.9868342,26.63648,Florida
972857094591271000,2018-03-11T15:29:40Z,125117830,GIRLEMPOWER,"@amyjccuddy ...I also explain to people that I MUST get the flu shot every year, because due to my autoimmune condition &amp; drugs to suppress my immune system, I’m one of those people who end up hospitalized because of the flu and I could die😷These are always fun, lighthearted conversations🤣",Twitter for iPhone,972639025642312000,529140270,amyjccuddy,FALSE,FALSE,0,0,,,,,,,,,,,,,,529140270,amyjccuddy,en,,,,,https://api.twitter.com/1.1/geo/id/5c62ffb0f0f3479d.json,Phoenix,"Phoenix, AZ",city,United States,US,|,|,-112.3239143|-111.9254391|-111.9254391|-112.3239143|33.29026|33.29026|33.8154652|33.8154652,-112.1246767,33.5528626,Arizona
972828692102701000,2018-03-11T13:36:49Z,37796249,Ambitious_NELLE,All i need is a Flu Shot &amp; Varicella Shot to start Georgetown hospital this blowing me🤦🏾‍♀️,Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/0051db7004c337bf.json,Landover,"Landover, MD",city,United States,US,|,|,-76.917955|-76.8519139|-76.8519139|-76.917955|38.907419|38.907419|38.945052|38.945052,-76.88493445,38.9262355,Maryland
972688211913986000,2018-03-11T04:18:36Z,240808548,KristinBroers,"@politico 1) Food poisoning  2) A tetanus shot         3) A root canal  4) The flu  5) Pink eye    Yes, any of these would be more enjoyable than listening to that gasbag.",Twitter for iPhone,972686579608236000,9300262,politico,FALSE,FALSE,9,0,,,,,,,,,,,,,,9300262,politico,en,,,,,https://api.twitter.com/1.1/geo/id/4a9aecc7ad6b85e6.json,West Des Moines,"West Des Moines, IA",city,United States,US,|,|,-93.8461837|-93.7033258|-93.7033258|-93.8461837|41.5280075|41.5280075|41.600507|41.600507,-93.77475475,41.56425725,Iowa
972634712782131000,2018-03-11T00:46:00Z,1364989273,Lukewack8,@nlhockyhead @Markwills73 Also just side note let’s not compare the flu shot to children being lit up by bullets in a classroom,Twitter for iPhone,972606198263448000,322121655,nlhockyhead,FALSE,FALSE,0,0,,,,,,,,,,,,,,322121655|2941515016,nlhockyhead|Markwills73,en,,,,,https://api.twitter.com/1.1/geo/id/0633ab4aa27b0bf7.json,Waltham,"Waltham, MA",city,United States,US,|,|,-71.289902|-71.194241|-71.194241|-71.289902|42.352885|42.352885|42.436021|42.436021,-71.2420715,42.394453,Massachusetts
972626127272456000,2018-03-11T00:11:53Z,415085753,Tay_Nicole77,This is what I get for not getting the flu shot,Twitter for iPhone,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/008bb7ce560a49b0.json,Owasso,"Owasso, OK",city,United States,US,|,|,-95.901938|-95.735716|-95.735716|-95.901938|36.2460795|36.2460795|36.350208|36.350208,-95.818827,36.29814375,Oklahoma
