status_id,created_at,user_id,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,retweet_status_id,retweet_text,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,lng,lat
969794270369591303,2018-03-03T04:39:06Z,483671675,iAmEricTune,@Krazy_Cousin @Tsharz I’m just thinking that was a lot of them for any body ache,Twitter for iPhone,969794019948548096,3175412272,Krazy_Cousin,FALSE,FALSE,0,0,,,,,,,,,,,,,,3175412272|404660197,Krazy_Cousin|Tsharz,en,,,,,,,,,,,|,|,|||||||,,
969771951001518081,2018-03-03T03:10:25Z,800585254679367681,michelle_dehoff,Tooth ache! On top of full body pain tonight! I want to curl up in a ball and die.,Twitter for Android,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,|,|,|||||||,,
969766883271442432,2018-03-03T02:50:17Z,4848719656,kestrelen,whole body ache :( ive been sick for over a week now why wont it end,Twitter Web Client,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,|,|,|||||||,,
969743388525277184,2018-03-03T01:16:55Z,59799627,strattysangel,I've ran 40k this week and my body is aching is places I didn't know I could ache,Twitter for Android,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,|,|,|||||||,,
969684092433387520,2018-03-02T21:21:18Z,134793767,yaboyboy_Q,"When your legs ache, your body burns, &amp; there's sweat all over? you know you're doing something right. Don't give up.",IFTTT,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,|,|,|||||||,,
969674457668292609,2018-03-02T20:43:01Z,3272181883,Icecold_dave,Dawg...... I desperately need a back massage my whole body ache,Twitter for iPhone,,,,FALSE,FALSE,1,1,,,,,,,,,,,,,,,,en,,,,,,,,,,,|,|,|||||||,,
969673981245534208,2018-03-02T20:41:07Z,1167896383,alinka1224,Reallllyyy gonna need to stretch before tonight cause I can already feel tomorrows body ache after my 3 month rave break🙃😅,Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,|,|,|||||||,,
969667006986366976,2018-03-02T20:13:24Z,35011253,Jose_Stacks,"Parts of my body that ache : ball of feet , top of my foot ( but closer to my ankle ), achilles , calves , left knee, back of thighs , buttocks , entire lower back, muscle around my underarms, shoulders, neck, and fingers",Twitter for iPhone,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,|,|,|||||||,,
969664611606777856,2018-03-02T20:03:53Z,75311671,_JesseRoss,Omg this makes my body ache wow https://t.co/HKL42qsslH,Twitter for iPhone,,,,TRUE,FALSE,0,0,,,twitter.com/xavierkatana/s…,https://t.co/HKL42qsslH,https://twitter.com/xavierkatana/status/968502025657962497,,,,,,,,,,,en,968502025657962497,Cutting a honeycomb https://t.co/bDRaL6naff,,,,,,,,,|,|,|||||||,,
969651630709846018,2018-03-02T19:12:18Z,138664560,mindheist,"@andylassner The perpetual body ache, throwing up, and inability to use the bathroom normally is something I wouldn’t wish on my worst enemy and I went through that more than once and I still can’t figure out why.",Twitter for iPhone,969649031109476352,23645988,andylassner,FALSE,FALSE,4,0,,,,,,,,,,,,,,23645988,andylassner,en,,,,,,,,,,,|,|,|||||||,,
969645695568261120,2018-03-02T18:48:43Z,214678713,_EdithGarcia,My whole body hurts. I have a massive headache. I am so sleepy. And a stomach ache. Can I please go home so I can sleep for the whole day🙇🏻‍♀️,Twitter for iPhone,,,,FALSE,FALSE,2,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/689083f5b4e488b4.json,Camarillo,"Camarillo, CA",city,United States,US,|,|,-119.109824|-118.958874|-118.958874|-119.109824|34.191355|34.191355|34.2592999|34.2592999,-119.034349,34.22532745
