status_id,created_at,user_id,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,retweet_status_id,retweet_text,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,lng,lat
976245786953437184,2018-03-20T23:55:08Z,781821964268687360,ArcheryBEC1960,@thehill The hatred between the parties is feverish.....almost nearing Civil War days,Twitter Lite,976223135698771968,1917731,thehill,FALSE,FALSE,0,0,,,,,,,,,,,,,,1917731,thehill,en,,,,,,,,,,,|,|,|||||||,,
976236976423821312,2018-03-20T23:20:07Z,1040850661,thePaulReeves,"After a feverish half with too many stats for me to record to be able to tweet, CWYWF takes a 34-32 lead into the break, led by Ant (3/3 fr3, 13 pts 2ast) #5v5Draft",Twitter for iPhone,,,,FALSE,FALSE,0,0,5v5Draft,,,,,,,,,,,,,,,en,,,,,,,,,,,|,|,|||||||,,
976200136056451072,2018-03-20T20:53:44Z,15062701,doctorfaustroll,"Oopsie daisy
two tweets calling out the @NRA
&amp; I’m #Shadowbanned again
approaching two solid weeks
since pinning offending tweets to
@jack
&amp; @twittersupport
How about suspending
your feverish pocket pool sessions
for a couple of days
&amp; fix your awful algorithms?",Twitter Lite,,,,FALSE,FALSE,1,0,Shadowbanned,,,,,,,,,,,,,21829541|12|17874544,NRA|jack|TwitterSupport,en,,,,,,,,,,,|,|,|||||||,,
976199779557543937,2018-03-20T20:52:19Z,180831284,eggmanab,Joey Tree of San Jose downs 40 feverish dogs in his San Jose flat Hawthorn 24 as he carriage championing the The middle of summer 4 Nathan's hotdog consumption struggle in Modern Dynasty. He dunks the bottom in the swill mug previously he dines them....,Katie Schatz,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,|,|,|||||||,,
976195879085510656,2018-03-20T20:36:49Z,595189702,WEATHERISHAPPEN,"EYE HAD A FEVERISH VIZION FRUM UR WEATHER LORDS

5-10"" OF TH DUMB WHITE STUFF IN #BOSTON #WEATHER #MAWX

MOAR SUNE",Twitter Web Client,,,,FALSE,FALSE,11,4,BOSTON|WEATHER|MAWX,,,,,,,,,,,,,,,en,,,,,,,,,,,|,|,|||||||,,
976194328182886400,2018-03-20T20:30:39Z,149981362,AvaAssistant,"https://t.co/hdJbYNMUQC: David Bowie Photo Exhibit in New York Extended Through Next Week - There’s been so much feverish chatter about the remarkable “David Bowie Is” exhibition of the artist’s outfits, photos and other ephemera — which recently land... https://t.co/jOLzpgxJwo",Hootsuite,,,,FALSE,FALSE,0,0,,,Variety.com|ow.ly/nQmC50gVR0C,https://t.co/hdJbYNMUQC|https://t.co/jOLzpgxJwo,http://Variety.com|http://ow.ly/nQmC50gVR0C,,,,,,,,,,,en,,,,,,,,,,,|,|,|||||||,,
976183040471912449,2018-03-20T19:45:48Z,15144901,sw6,@gordonjbuchanan This is a nightmare. What can Chinese guys take now when they are feeling a bit feverish or go out on the weekend and are feeling lucky?,Twitter Web Client,976075043708047362,59060699,gordonjbuchanan,FALSE,FALSE,0,0,,,,,,,,,,,,,,59060699,gordonjbuchanan,en,,,,,,,,,,,|,|,|||||||,,
976178410702635009,2018-03-20T19:27:24Z,865227718492913666,saragabejohnson,I was so confused about being feverish because I felt fine but wow I do NOT feel fine I feel SO tired.,Twitter for iPhone,,,,FALSE,FALSE,4,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,|,|,|||||||,,
976169377438482432,2018-03-20T18:51:30Z,77267637,HighSierraMan,Toronto 2013: 'The Fifth Estate' is a feverish tale of cyberjournalism https://t.co/U4pITAT52E via @ew,Twitter Web Client,,,,FALSE,FALSE,2,0,,,ew.com/article/2013/0…,https://t.co/U4pITAT52E,http://ew.com/article/2013/09/06/the-fifth-estate-is-a-feverish-tale/,,,,,,,,,16312576,EW,en,,,,,,,,,,,|,|,|||||||,,
976164681160146944,2018-03-20T18:32:50Z,17176190,Beatgrrrl,"The Photographers Who Captured the Flashy, Feverish Nights of Disco https://t.co/1Qb3VjxUJ4 via @artsy",Twitter Web Client,,,,FALSE,FALSE,1,0,,,artsy.net/article/artsy-…,https://t.co/1Qb3VjxUJ4,https://www.artsy.net/article/artsy-editorial-photographers-captured-flashy-feverish-nights-disco,,,,,,,,,81783051,artsy,en,,,,,,,,,,,|,|,|||||||,,
976144347015065600,2018-03-20T17:12:02Z,233240242,RennyOfYore,"@SonaliManka “Sending a message” has a whole lot less impact when it is born out of a feverish attempt to become an icon, than if it were to just happen naturally...",Twitter for iPhone,976141944899317760,316984173,SonaliManka,FALSE,FALSE,1,0,,,,,,,,,,,,,,316984173,SonaliManka,en,,,,,,,,,,,|,|,|||||||,,
976143080746340352,2018-03-20T17:07:00Z,36533962,NatPurser,"2) I really miss Blockbuster! The vibe, the snacks, the feverish excitement when you find out they have your desired movie in stock.",Twitter for iPhone,976142155025670144,36533962,NatPurser,FALSE,FALSE,21,1,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/47cfe29f57708110.json,Royal Oak,"Royal Oak, MI",city,United States,US,|,|,-83.204418|-83.111076|-83.111076|-83.204418|42.474131|42.474131|42.540305|42.540305,-83.157747,42.507218
976131902674538496,2018-03-20T16:22:35Z,842487982053560321,photon_barrier,"&amp; so I have, now being 32 and having spent the last 10+ years more often ill than well. Ever since I've been 19, activities leave me exhausted &amp; feverish (actual fever) often accompanied with a headache.",Twitter Web Client,976131181086470145,842487982053560321,photon_barrier,FALSE,FALSE,2,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,|,|,|||||||,,
976131181086470145,2018-03-20T16:19:43Z,842487982053560321,photon_barrier,"From hardly ever being ill I was now constantly exhausted &amp; feverish &amp; usually went straight to bed after coming from my internship. 

I went to see a doctor, who after a few appointments &amp; test, told me that this happens to some people &amp; I just had to learn to live with it",Twitter Web Client,976130532521201664,842487982053560321,photon_barrier,FALSE,FALSE,2,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,|,|,|||||||,,
976130039858237440,2018-03-20T16:15:11Z,849101972682747904,BlkTechUnplged,"""As an Author, Social Entrepreneur and the former “Chief Popsicle” of Feverish Ice Cream, Hatcher was named one of the Empact 100 Top 100 Entrepreneurs under the age of 30 by the White House and Kauffman Foundation in 2011, a 2014 White House..."" https://t.co/WEymjiTgU7 #Miami https://t.co/DWOxOld262",Missinglettr,,,,FALSE,FALSE,0,0,Miami,,goo.gl/ZVF4XE,https://t.co/WEymjiTgU7,https://goo.gl/ZVF4XE,http://pbs.twimg.com/media/DYvpGHOX4AALGN1.jpg,https://t.co/DWOxOld262,https://twitter.com/BlkTechUnplged/status/976130039858237440/photo/1,photo,http://pbs.twimg.com/media/DYvpGHOX4AALGN1.jpg,https://t.co/DWOxOld262,https://twitter.com/BlkTechUnplged/status/976130039858237440/photo/1,,,,en,,,,,,,,,,,|,|,|||||||,,
976123147463331842,2018-03-20T15:47:48Z,272505524,__ppang_,feverish/fever rest/thieve arrest,Twitter Web Client,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,|,|,|||||||,,
976115369420128256,2018-03-20T15:16:54Z,612706024,FlaVerytm,"Went2bed&amp;woke up this morning feeling feverish. Took my temp&amp;it was normal. Ran laps&amp; had an awesome workout. I must admit some days I struggle thru a @lerciusfitness workout. Today I was all in. My trainer said so. 🙂💪🏽 #EasyIsNotAnOption ✊🏽Good Morning,Beautiful People☀️ https://t.co/Fa9a0R5d88",Twitter for iPhone,,,,FALSE,FALSE,2,2,EasyIsNotAnOption,,,,,http://pbs.twimg.com/ext_tw_video_thumb/976115053677101056/pu/img/TyxaAKXndVuB4WH7.jpg,https://t.co/Fa9a0R5d88,https://twitter.com/FlaVerytm/status/976115369420128256/video/1,photo,http://pbs.twimg.com/ext_tw_video_thumb/976115053677101056/pu/img/TyxaAKXndVuB4WH7.jpg,https://t.co/Fa9a0R5d88,https://twitter.com/FlaVerytm/status/976115369420128256/video/1,,2859594736,lerciusfitness,en,,,,,,,,,,,|,|,|||||||,,
976092401554067457,2018-03-20T13:45:38Z,14950146,danayoung,"At home day 2 with child who is no longer really sick, but had a fever last night and there's that 24 hour rule about sending kids to school who have been feverish.",Twitter for Android,,,,FALSE,FALSE,2,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,|,|,|||||||,,
976090897560559616,2018-03-20T13:39:39Z,26040780,ShannonJoyRadio,"Just picked up a feverish Teddy from Kindergarten! :(
Calling in the show today from home ... please bear with us!",Twitter Web Client,,,,FALSE,FALSE,6,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,|,|,|||||||,,
976088470278975488,2018-03-20T13:30:00Z,3972990909,EdMarketBrief,"States have been passing #studentdata privacy laws at a feverish pace, creating situations that can confound companies. @futureofprivacy offers tips for #edtech businesses https://t.co/sHIJ5s7efm https://t.co/ImxLB4p7gi",TweetDeck,,,,FALSE,FALSE,1,1,studentdata|edtech,,marketbrief.edweek.org/analysts-view/…,https://t.co/sHIJ5s7efm,https://marketbrief.edweek.org/analysts-view/learning-accidental-consequences-student-data-privacy-laws/?cmp=soc-tw-edit-mrktbf,http://pbs.twimg.com/media/DYrjMmHWkAAfupl.jpg,https://t.co/ImxLB4p7gi,https://twitter.com/EdMarketBrief/status/976088470278975488/photo/1,photo,http://pbs.twimg.com/media/DYrjMmHWkAAfupl.jpg,https://t.co/ImxLB4p7gi,https://twitter.com/EdMarketBrief/status/976088470278975488/photo/1,,541136693,futureofprivacy,en,,,,,,,,,,,|,|,|||||||,,
976088312007061504,2018-03-20T13:29:23Z,15829144,NYTimesPR,".@marcatracy talks shop about a feverish @marchmadness on @Slate's ""Hang Up and Listen"" podcast: https://t.co/aqz4XyYALz",Twitter Web Client,,,,FALSE,FALSE,1,1,,,slate.me/2G85829,https://t.co/aqz4XyYALz,http://slate.me/2G85829,,,,,,,,,61108556|202416362|15164565,marcatracy|marchmadness|Slate,en,,,,,,,,,,,|,|,|||||||,,
976081828913262592,2018-03-20T13:03:37Z,312705978,hpjohn1,"An Uber self-driving car hit and killed a woman in Tempe, Ariz., a tragic milestone that could lead to a major setback in the otherwise feverish development of driverless transportation. https://t.co/nI6p16gtqm https://t.co/XkrjYkVZ9c",Echofon,,,,FALSE,FALSE,0,0,,,amp.usatoday.com/amp/438473002,https://t.co/nI6p16gtqm,https://amp.usatoday.com/amp/438473002,http://pbs.twimg.com/media/DYu9P5WVQAERBAc.jpg,https://t.co/XkrjYkVZ9c,https://twitter.com/hpjohn1/status/976081828913262592/photo/1,photo,http://pbs.twimg.com/media/DYu9P5WVQAERBAc.jpg,https://t.co/XkrjYkVZ9c,https://twitter.com/hpjohn1/status/976081828913262592/photo/1,,,,en,,,,,,,,,,,|,|,|||||||,,
