status_id,created_at,user_id,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,retweet_status_id,retweet_text,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords
973018182821842944,2018-03-12T02:09:47Z,961315651519467520,beardedlawyerFL,"People, this #flu is NO JOKE. Mine turned into #pneumonia and I spent two days in the #hospital! Take it seriously.",Twitter for iPad,,,,FALSE,FALSE,0,0,flu|pneumonia|hospital,,,,,,,,,,,,,,,en,,,,,,,,,,,|,|,|||||||
973012007715770369,2018-03-12T01:45:14Z,4049331443,NatureCutsTags,Nurses Hat Confetti... https://t.co/mb9Q2QCdZM via @amazon #naturecuts #confetti #new #shopsmall #shopping #nurse #nursing #school #education #graduation #health #flu #hospital #joy #favors #perfect #love,ManageFlitter,,,,FALSE,FALSE,1,0,naturecuts|confetti|new|shopsmall|shopping|nurse|nursing|school|education|graduation|health|flu|hospital|joy|favors|perfect|love,,mf.tt/PBZZhe,https://t.co/mb9Q2QCdZM,http://mf.tt/PBZZhe,,,,,,,,,20793816,amazon,en,,,,,,,,,,,|,|,|||||||
973011191642468352,2018-03-12T01:42:00Z,64506942,SDCountyHHSA,"Help stop the spread of the #flu: get vaccinated, wash your hands, cover coughs and sneezes - and stay home when sick. https://t.co/Is4Z2yJ963 https://t.co/c16prWv306",TweetDeck,,,,FALSE,FALSE,0,1,flu,,sdiz.org,https://t.co/Is4Z2yJ963,http://sdiz.org,http://pbs.twimg.com/media/DXyg0wGUQAETiR3.jpg,https://t.co/c16prWv306,https://twitter.com/SDCountyHHSA/status/973011191642468352/photo/1,photo,http://pbs.twimg.com/media/DXyg0wGUQAETiR3.jpg,https://t.co/c16prWv306,https://twitter.com/SDCountyHHSA/status/973011191642468352/photo/1,,,,en,,,,,,,,,,,|,|,|||||||
973010956430307330,2018-03-12T01:41:04Z,959341650798678017,wannabeaboo,Who knew getting the #flu would take out a whole week away #recovery #Health,Twitter for Android,,,,FALSE,FALSE,0,0,flu|recovery|Health,,,,,,,,,,,,,,,en,,,,,,,,,,,|,|,|||||||
973009937738629120,2018-03-12T01:37:01Z,958805665929076737,OhioNewsNetwork,"Worst of the flu season has passed, but it remains deadly https://t.co/a3KmMgvP9G #flu #health https://t.co/Tro7fuDtyW",Buffer,,,,FALSE,FALSE,0,0,flu|health,,buff.ly/2Dj0R6A,https://t.co/a3KmMgvP9G,https://buff.ly/2Dj0R6A,http://pbs.twimg.com/media/DYDTYY7WAAAvEOM.jpg,https://t.co/Tro7fuDtyW,https://twitter.com/OhioNewsNetwork/status/973009937738629120/photo/1,photo,http://pbs.twimg.com/media/DYDTYY7WAAAvEOM.jpg,https://t.co/Tro7fuDtyW,https://twitter.com/OhioNewsNetwork/status/973009937738629120/photo/1,,,,en,,,,,,,,,,,|,|,|||||||
973006878958587906,2018-03-12T01:24:52Z,70427401,madhur410,Many kudos to @BlackjackPizza in Boulder for sending several of the sick kitchen staff home at the risk of losing business. Awesome move in this horrible #flu season.,Twitter for iPhone,,,,FALSE,FALSE,0,0,flu,,,,,,,,,,,,,18955374,BlackjackPizza,en,,,,,,,,,,,|,|,|||||||
973003651546566656,2018-03-12T01:12:02Z,4124940080,AncientInfusion,"One still has to be careful about the flu &amp; becoming sick.

Try our Ancient Thieves oil &amp; our bronchitis essential oil with our diffuser! https://t.co/5UQz1sjRxk 

#Bronchitis ~ https://t.co/u3pQhtP4oj #health #AllNatural #sickness #Flu #FluSymptons https://t.co/RT9dWSx2Si",Twitter for Android,,,,FALSE,FALSE,1,0,Bronchitis|health|AllNatural|sickness|Flu|FluSymptons,,Ancient-Infusions.com|bit.ly/BronchitisRoll…,https://t.co/5UQz1sjRxk|https://t.co/u3pQhtP4oj,http://Www.Ancient-Infusions.com|http://bit.ly/BronchitisRollOn,http://pbs.twimg.com/media/DYDNqdKX0AEWjPa.jpg,https://t.co/RT9dWSx2Si,https://twitter.com/AncientInfusion/status/973003651546566656/photo/1,photo,http://pbs.twimg.com/media/DYDNqdKX0AEWjPa.jpg,https://t.co/RT9dWSx2Si,https://twitter.com/AncientInfusion/status/973003651546566656/photo/1,,,,en,,,,,,,,,,,|,|,|||||||
973003159248482304,2018-03-12T01:10:05Z,363908305,HerculesHandy,Gabriel looks like he caught that #Flu epidemic going around,Twitter for Android,,,,FALSE,FALSE,14,4,Flu,,,,,,,,,,,,,,,en,,,,,,,,,,,|,|,|||||||
972993297424646145,2018-03-12T00:30:54Z,883481906922258432,lakeariellaw,"Man, when I went to sleep, #China still had presidential term limits. When I woke up, they had become a #dictatorship. Boy, the #flu really does change your world...",Twitter for iPhone,,,,FALSE,FALSE,0,0,China|dictatorship|flu,,,,,,,,,,,,,,,en,,,,,,,,,,,|,|,|||||||
972990858713817088,2018-03-12T00:21:12Z,853748905372200960,TeeKaye714,"Let me say that if this cold/#flu had since Thursday is new strain warned about., it’s a real asskicker. Taking day &amp; nitequil. Nasty it is!",Twitter for iPhone,,,,FALSE,FALSE,0,0,flu,,,,,,,,,,,,,,,en,,,,,,,,,,,|,|,|||||||
972989301305806849,2018-03-12T00:15:01Z,15270247,kc5fm,Keeping flu out of the pew: Houses of worship and faith-based schools change routine to avoid spreading virus https://t.co/lmFdfWSUkf #Flu #teamJesus https://t.co/Elbmhk5W6m,Buffer,,,,FALSE,FALSE,1,0,Flu|teamJesus,,buff.ly/2Fppd4G,https://t.co/lmFdfWSUkf,https://buff.ly/2Fppd4G,http://pbs.twimg.com/media/DYDAnL-XcAA3rEL.jpg,https://t.co/Elbmhk5W6m,https://twitter.com/kc5fm/status/972989301305806849/photo/1,photo,http://pbs.twimg.com/media/DYDAnL-XcAA3rEL.jpg,https://t.co/Elbmhk5W6m,https://twitter.com/kc5fm/status/972989301305806849/photo/1,,,,en,,,,,,,,,,,|,|,|||||||
972980174969978880,2018-03-11T23:38:45Z,966099170737061889,jaz_yass,Currently dying #flu #ugh #whyme,Twitter for iPhone,,,,FALSE,FALSE,0,0,flu|ugh|whyme,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/009243ac50ad0f26.json,West Sacramento,"West Sacramento, CA",city,United States,US,|,|,-121.584282|-121.506483|-121.506483|-121.584282|38.516197|38.516197|38.603777|38.603777
